set,t,rarity,pull_rate,card,number,is_pokemon,is_chase,price_on_release,current_price,popularity_index,ebay_index,set_popularity_index,next_price,next_log_return,log_return_1m,log_return_2m,log_return_3m,momentum_3m,volatility_3m,card_age,log_current_price,return_since_release,log_return_6m,momentum_6m,price_mean_3m,price_mean_6m,price_vs_mean_3m,price_vs_mean_6m,volatility_6m,history_length,popularity_chase,ebay_chase,set_popularity_chase
Silver Tempest,10,Holo Rare V,0.005050505050505,Unown V,65,True,False,0.8,1.04,0.4066817791428039,0.365530303030303,0.557,3.45,1.1991535178899873,-3.2566161528510476,-1.1637515908390712,0.0905140075408319,0.09473684210526323,2.8771585031672187,10,0.712949807856125,0.26236426446749106,0.17848278048678903,0.1954022988505748,10.426666666666668,9.765,0.09974424552429667,0.10650281618023553,2.5352156841394713,30,0.0,0.0,0.0
Silver Tempest,10,Ultra Rare,0.0011574074074074,Unown V,176,True,False,2.17,3.45,0.4066817791428039,0.371301247771836,0.557,32.18,2.2329709105209687,1.1991535178899873,-2.0574626349610607,0.035401927050916,0.03603603603603611,2.8655873949265818,10,1.4929040961781488,0.4636470634909003,-0.025752496102414625,-0.025423728813559254,10.456666666666667,9.793333333333335,0.3299330570608862,0.35228046289993187,2.5143691334081324,31,0.0,0.0,0.0
Silver Tempest,10,Ultra Rare,0.0011574074074074,Unown V,177,True,False,19.02,32.18,0.4066817791428039,0.5994429590017826,0.557,0.88,-3.599178513074122,2.2329709105209687,3.432124428410956,0.17550827555990814,0.19185185185185194,2.917139805995574,10,3.5019472847622986,0.5258540844469929,0.34020823100404324,0.4052401746724892,10.496666666666668,9.778333333333332,3.065735154017148,3.2909493778762573,2.5726061889015432,32,0.0,0.0,0.0
Silver Tempest,11,Holo Rare V,0.005050505050505,Unown V,65,True,False,0.8,0.88,0.4066817791428039,0.365530303030303,0.557,3.64,1.4198170531585343,-3.599178513074122,-1.3662076025531533,-0.1670540846631662,-0.15384615384615385,3.1119858498988235,11,0.6312717768418579,0.09531017980432474,-0.07654007712233438,-0.0736842105263158,12.223333333333334,11.324999999999998,0.07199345514044177,0.07770419426048567,2.680897269634036,33,0.0,0.0,0.0
Silver Tempest,11,Ultra Rare,0.0011574074074074,Unown V,176,True,False,2.17,3.64,0.4066817791428039,0.371301247771836,0.557,32.59,2.192021811200821,1.4198170531585343,-2.179361459915588,0.05360945060538088,0.05507246376811592,3.1587313536910937,11,1.534714366238164,0.5172565140962812,0.08901137765629684,0.0930930930930931,12.170000000000002,11.313333333333333,0.29909613804437135,0.32174425456688277,2.6973470306145475,34,0.0,0.0,0.0
Silver Tempest,11,Ultra Rare,0.0011574074074074,Unown V,177,True,False,19.02,32.59,0.4066817791428039,0.5994429590017826,0.557,0.91,-3.5783161723207115,2.192021811200821,3.6118388643593553,0.012660351285233216,0.012740832815413494,3.1444294097681276,11,3.5142284036242013,0.538514435732226,0.18816862684514118,0.20703703703703713,12.233333333333334,11.365,2.664032697547684,2.867575890893093,2.712884141618192,35,0.0,0.0,0.0
Silver Tempest,12,Holo Rare V,0.005050505050505,Unown V,65,True,False,0.8,0.91,0.4066817791428039,0.365530303030303,0.557,3.74,1.413396290897682,-3.5783161723207115,-1.3862943611198906,0.033522692038643644,0.03409090909090917,3.1324760273638184,12,0.6471032420585385,0.12883287184296838,-0.13353139262452263,-0.125,12.370000000000003,12.296666666666667,0.07356507679870654,0.07400379506641366,2.792863375027538,36,0.0,0.0,0.0
Silver Tempest,12,Ultra Rare,0.0011574074074074,Unown V,176,True,False,2.17,3.74,0.4066817791428039,0.371301247771836,0.557,31.05,2.116513196953047,1.413396290897682,-2.1649198814230295,0.027101929777791394,0.027472527472527597,3.131034213067319,12,1.556037135706985,0.5443584438740724,0.08071138038317227,0.08405797101449286,12.38,12.275,0.30210016155088854,0.30468431771894094,2.812900109299603,37,0.0,0.0,0.0
Silver Tempest,0,Holo Rare VSTAR,0.0053763440860215,Unown VSTAR,66,True,False,1.18,1.18,0.4066817791428039,0.5165998217468806,0.557,7.62,1.8652619312209815,,,,,,0,0.7793248768009976,0.0,,,,,,,,0,0.0,0.0,0.0
Silver Tempest,0,Secret Rare,0.0009090909090909,Unown VSTAR,199,True,False,7.62,7.62,0.4066817791428039,0.4011363636363636,0.557,1.26,-1.7996646487351682,1.8652619312209815,,,,,0,2.154085084675602,0.0,,,,,,,,1,0.0,0.0,0.0
Silver Tempest,1,Holo Rare VSTAR,0.0053763440860215,Unown VSTAR,66,True,False,1.18,1.26,0.4066817791428039,0.5165998217468806,0.557,8.08,1.8582801515696175,-1.7996646487351682,0.06559728248581327,,,,1,0.8153648132841945,0.06559728248581327,,,,,,,,2,0.0,0.0,0.0
