iter	Passed	Remaining
685	1004	459
686	1005	458
687	1007	456
688	1008	455
689	1010	453
690	1011	452
691	1012	450
692	1014	449
693	1015	447
694	1017	446
695	1018	444
696	1019	443
697	1021	441
698	1022	440
699	1024	438
700	1025	437
701	1027	435
702	1028	434
703	1029	433
704	1031	431
705	1033	430
706	1034	428
707	1036	427
708	1037	425
709	1039	424
710	1040	423
711	1042	421
712	1043	420
713	1044	418
714	1046	417
715	1047	415
716	1049	414
717	1050	412
718	1052	411
719	1053	409
720	1054	408
721	1056	406
722	1057	405
723	1059	403
724	1060	402
725	1061	400
726	1063	399
727	1064	397
728	1065	396
729	1067	394
730	1068	393
731	1069	391
732	1071	390
733	1072	388
734	1074	387
735	1075	385
736	1076	384
737	1078	382
738	1079	381
739	1080	379
740	1082	378
741	1083	376
742	1085	375
743	1086	373
744	1087	372
745	1089	370
746	1090	369
747	1092	368
748	1093	366
749	1095	365
750	1096	363
751	1098	362
752	1099	360
753	1101	359
754	1102	357
755	1103	356
756	1105	354
757	1107	353
758	1108	352
759	1110	350
760	1111	349
761	1112	347
762	1114	346
763	1116	344
764	1117	343
765	1118	341
766	1119	340
767	1121	338
768	1122	337
769	1124	335
770	1125	334
771	1126	332
772	1128	331
773	1129	329
774	1131	328
775	1133	327
776	1134	325
777	1136	324
778	1137	322
779	1139	321
780	1140	319
781	1142	318
782	1143	316
783	1144	315
784	1146	313
785	1147	312
786	1149	311
787	1151	309
788	1152	308
789	1153	306
790	1155	305
791	1156	303
792	1158	302
793	1159	300
794	1161	299
795	1162	297
796	1164	296
797	1165	295
798	1167	293
799	1169	292
800	1170	290
801	1171	289
802	1173	287
803	1175	286
804	1176	284
805	1178	283
806	1179	282
807	1181	280
808	1182	279
809	1184	277
810	1185	276
811	1187	274
812	1188	273
813	1190	271
814	1191	270
815	1193	269
816	1194	267
817	1196	266
818	1198	264
819	1199	263
820	1201	261
821	1202	260
822	1204	259
823	1205	257
824	1207	256
825	1208	254
826	1210	253
827	1211	251
828	1213	250
829	1215	248
830	1216	247
831	1217	245
832	1219	244
833	1220	242
834	1222	241
835	1223	240
836	1225	238
837	1226	237
838	1228	235
839	1230	234
840	1231	232
841	1233	231
842	1234	229
843	1236	228
844	1237	227
845	1239	225
846	1240	224
847	1242	222
848	1243	221
849	1245	219
850	1247	218
851	1248	216
852	1250	215
853	1251	214
854	1253	212
855	1254	211
856	1256	209
857	1257	208
858	1259	206
859	1260	205
860	1262	203
861	1264	202
862	1265	200
863	1267	199
864	1268	198
865	1270	196
866	1271	195
867	1272	193
868	1274	192
869	1275	190
870	1277	189
871	1279	187
872	1280	186
873	1282	184
874	1283	183
875	1285	181
876	1286	180
877	1288	179
878	1289	177
879	1291	176
880	1292	174
881	1293	173
882	1295	171
883	1297	170
884	1299	168
885	1300	167
886	1301	165
887	1303	164
888	1304	162
889	1306	161
890	1307	159
891	1309	158
892	1310	157
893	1312	155
894	1314	154
895	1316	152
896	1317	151
897	1318	149
898	1320	148
899	1321	146
900	1323	145
901	1324	143
902	1325	142
903	1327	140
904	1329	139
905	1331	138
906	1332	136
907	1334	135
908	1335	133
909	1337	132
910	1338	130
911	1340	129
912	1341	127
913	1343	126
914	1345	124
915	1346	123
916	1348	122
917	1349	120
918	1351	119
919	1352	117
920	1354	116
921	1355	114
922	1356	113
923	1358	111
924	1360	110
925	1361	108
926	1363	107
927	1364	105
928	1366	104
